codigo_ies,anio,nombre_ies,n_evaluados,n_ceros_escrita,global_a,global_c,global_b,pct_ceros_escrita
2827,2024,CORPORACION UNIVERSITARIA DEL META-VILLAVICENCIO,321,44,138.34,142.13,142.71,13.71
2828,2024,CORPORACION UNIVERSITARIA DEL HUILA-CORHUILA-NEIVA,390,20,136.11,137.37,138.14,5.13
2829,2024,CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-BOGOTÁ D.C.,13535,1112,133.58,135.65,136.51,8.22
2830,2024,CORPORACION UNIVERSITARIA IBEROAMERICANA-BOGOTÁ D.C.,3409,299,133.63,135.82,136.86,8.77
2831,2024,CORPORACION UNIVERSITARIA DE CIENCIA Y DESARROLLO - UNICIENCIA-BOGOTÁ D.C.,413,43,139.48,142.2,143.5,10.41
2832,2024,UNIVERSIDAD DE SANTANDER - UDES-BUCARAMANGA,1483,113,141.23,143.23,144.21,7.62
2833,2024,CORPORACION UNIVERSITARIA REMINGTON-MEDELLIN,2630,259,134.06,136.57,137.54,9.85
2834,2024,UNIVERSITARIA AGUSTINIANA- UNIAGUSTINIANA-BOGOTÁ D.C.,974,40,145.65,146.82,147.01,4.11
2836,2024,CORPORACION UNIVERSITARIA EMPRESARIAL DE SALAMANCA-BARRANQUILLA,78,7,133.51,135.86,136.41,8.97
2837,2024,CORPORACION UNIVERSITARIA REPUBLICANA-BOGOTÁ D.C.,705,41,140.54,142.09,142.71,5.82
2838,2024,CORPORACION COLEGIATURA COLOMBIANA-MEDELLIN,120,1,157.2,157.49,157.35,0.83
2840,2024,CORPORACION UNIVERSITARIA EMPRESARIAL ALEXANDER VON HUMBOLDT - C.U.E.-ARMENIA,233,8,152.82,153.78,154.31,3.43
2841,2024,CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-BELLO,264,17,137.62,139.28,140.0,6.44
2842,2024,CORPORACION UNIVERSITARIA REFORMADA - CUR -BARRANQUILLA,540,49,131.72,133.99,134.85,9.07
2847,2024,UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI - BUCARAMANGA,411,32,143.49,145.64,146.27,7.79
2848,2024,CORPORACION UNIVERSITARIA  UNITEC-BOGOTÁ D.C.,358,22,141.92,143.43,144.78,6.15
2849,2024,CORPORACION UNIVERSITARIA AUTONOMA DEL CAUCA-POPAYAN,273,22,137.26,139.31,140.38,8.06
2850,2024,CORPORACION UNIVERSITARIA ANTONIO JOSE DE SUCRE - CORPOSUCRE-SINCELEJO,804,48,133.34,134.85,135.39,5.97
2901,2024,ESCUELA DE INTELIGENCIA Y CONTRAINTELIGENCIA BRIGADIER GENERAL RICARDO CHARRY SOLANO-BOGOTÁ D.C.,38,2,137.89,139.13,140.25,5.26
2902,2024,ESCUELA DE LOGISTICA-BOGOTÁ D.C.,19,0,144.42,144.42,144.42,0.0
2905,2024,CENTRO DE EDUCACION MILITAR-BOGOTÁ D.C.,28,5,145.89,151.13,152.0,17.86
3103,2024,INSTITUCIÓN UNIVERSITARIA MAYOR DE CARTAGENA,156,11,130.6,132.29,133.18,7.05
3104,2024,COLEGIO MAYOR DEL CAUCA-POPAYAN,366,19,140.12,141.56,141.72,5.19
3107,2024,INSTITUCION  UNIVERSITARIA PASCUAL BRAVO-MEDELLIN,568,50,144.13,146.48,147.77,8.8
3114,2024,ESCUELA NAVAL DE SUBOFICIALESARCBARRANQUILLA-BARRANQUILLA,1,0,98.0,98.0,98.0,0.0
3115,2024,INSTITUTO TECNOLOGICO DEL PUTUMAYO-MOCOA,319,48,130.69,134.47,136.02,15.05
3117,2024,INSTITUCION UNIVERSITARIA ITSA-SOLEDAD,521,35,137.82,139.59,140.23,6.72
3201,2024,UNIDADES TECNOLOGICAS DE SANTANDER-BUCARAMANGA,1629,161,139.03,141.64,142.74,9.88
3204,2024,TECNOLOGICO DE ANTIOQUIA-MEDELLIN,1711,123,140.76,142.68,143.38,7.19
3301,2024,INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO - UNIAJC-CALI,1877,147,129.64,131.57,132.25,7.83
3302,2024,INSTITUTO TECNOLOGICO METROPOLITANO-MEDELLIN,1610,94,147.47,149.12,149.6,5.84
3703,2024,INSTITUCION UNIVERSITARIA ESCOLME-MEDELLIN,235,11,133.25,134.4,134.93,4.68
3705,2024,FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA      -CARTAGENA,1226,91,133.61,135.47,136.28,7.42
3710,2024,FUNDACION TECNOLOGICA ANTONIO DE AREVALO-CARTAGENA,127,8,131.5,133.26,132.85,6.3
3713,2024,FUNDACION UNIVERSITARIA PARA EL DESARROLLO HUMANO - UNINPAHU-BOGOTÁ D.C.,342,30,135.44,137.7,138.59,8.77
3718,2024,FUNDACION DE ESTUDIOS SUPERIORES COMFANORTE -F.E.S.C.-CUCUTA,159,20,133.26,136.65,136.98,12.58
3719,2024,INSTITUCION UNIVERSITARIA LATINA - UNILATINA-BOGOTÁ D.C.,59,1,149.86,150.33,150.59,1.69
3720,2024,FUNDACION UNIVERSITARIA ESUMER-MEDELLIN,483,31,139.72,141.42,142.02,6.42
3801,2024,CORPORACION DE ESTUDIOS TECNOLOGICOS DEL NORTE DEL VALLE-CARTAGO,56,2,136.61,137.57,137.72,3.57
3803,2024,CORPORACION UNIVERSITARIA CENTRO SUPERIOR - UNICUCES-CALI,185,21,131.97,134.6,137.02,11.35
3809,2024,INSTITUTO SUPERIOR DE CIENCIAS SOCIALES Y ECONOMICO FAMILIARES-ICSEF-BOGOTÁ D.C.,10,0,145.7,145.7,145.7,0.0
3812,2024,INSTITUCION UNIVERSITARIA MARCO FIDEL SUAREZ-BELLO,166,22,129.29,132.75,133.07,13.25
3817,2024,CORPORACION UNIVERSITARIA AUTONOMA DE NARIÑO -AUNAR-PASTO,760,64,132.92,135.09,135.69,8.42
3819,2024,CORPORACION TECNOLOGICA INDUSTRIAL COLOMBIANA - TEINCO-BOGOTÁ D.C.,130,8,134.38,135.95,136.47,6.15
3821,2024,CORPORACION POLITECNICO DE LA COSTA ATLANTICA-BARRANQUILLA,623,66,131.74,134.42,135.37,10.59
3826,2024,CORPORACION INTERNACIONAL PARA EL DESARROLLO EDUCATIVO -CIDE-BOGOTÁ D.C.,80,10,130.01,132.92,135.44,12.5
3831,2024,CORPORACION UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA-POPAYAN,429,19,139.46,140.64,141.01,4.43
4101,2024,INSTITUTO DE EDUCACION TECNICA PROFESIONAL DE ROLDANILLO-ROLDANILLO,376,37,128.56,131.01,131.68,9.84
4107,2024,INSTITUTO TECNICO AGRICOLA-ITA-BUGA,37,7,124.16,128.59,131.33,18.92
4108,2024,ESCUELA TECNOLOGICA INSTITUTO TECNICO CENTRAL -BOGOTÁ D.C.,225,6,148.55,149.32,149.44,2.67
4110,2024,INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL -ESPINAL,571,70,125.68,128.65,129.87,12.26
4702,2024,FUNDACION DE EDUCACION SUPERIOR SAN JOSE -FESSANJOSE-BOGOTÁ D.C.,7885,796,131.92,134.46,135.44,10.1
4709,2024,INSTITUCION UNIVERSITARIA EAM QUINDIO-ARMENIA,165,23,139.63,143.45,144.54,13.94
4719,2024,FUNDACION DE EDUCACION SUPERIOR NUEVA AMERICA-BOGOTÁ D.C.,24,2,132.96,134.99,136.27,8.33
4721,2024,FUNDACION UNIVERSITARIA HORIZONTE-BOGOTÁ D.C.,226,17,132.7,134.58,135.31,7.52
4726,2024,FUNDACION PARA LA EDUCACION SUPERIOR SAN MATEO FUNDACION SAN MATEO-BOGOTÁ D.C.,692,58,133.48,135.59,136.46,8.38
4810,2024,CORPORACION UNIVERSITARIA CENDA-BOGOTÁ D.C.,151,8,136.77,138.01,139.14,5.3
4813,2024,CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.,5360,398,134.9,136.79,137.57,7.43
4818,2024,CORPORACION UNIVERSITARIA LATINOAMERICANA- CUL-BARRANQUILLA,823,92,125.99,128.72,129.53,11.18
4822,2024,CORPORACION ESCUELA DE ARTES Y LETRAS-BOGOTÁ D.C.,134,2,150.42,150.81,151.09,1.49
4825,2024,CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - C.I.A.F.-PEREIRA,148,14,123.11,125.38,126.0,9.46
4826,2024,CORPORACION UNIVERSITARIA REGIONAL DEL CARIBE- IAFIC-CARTAGENA,99,9,124.34,126.34,128.04,9.09
4835,2024,CORPORACION UNIVERSITARIA TALLER CINCO CENTRO DE DISEÑO-BOGOTÁ D.C.,167,10,155.03,156.85,157.19,5.99
4837,2024,"CORPORACION UNIVERSITARIA DE CIENCIAS EMPRESARIALES, EDUCACION Y SALUD -CORSALUD-BARRANQUILLA",33,3,124.18,126.22,127.6,9.09
5801,2024,CORPORACION ESCUELA TECNOLOGICA DEL ORIENTE-BUCARAMANGA,100,9,129.75,132.0,132.69,9.0
5802,2024,UNIVERSIDAD ECCI-BOGOTÁ D.C.,2130,105,147.88,149.23,149.87,4.93
9103,2024,ESCUELA MILITAR DE AVIACIONMARCO FIDEL SUAREZ-CALI,128,9,145.03,146.99,147.48,7.03
9104,2024,ESCUELA MILITAR DE CADETES GENERAL JOSE MARIA CORDOVA-BOGOTÁ D.C.,439,22,141.41,142.75,143.23,5.01
9105,2024,ESCUELA NAVAL DE CADETESALMIRANTE PADILLA-CARTAGENA,208,18,142.27,144.62,145.5,8.65
9107,2024,ESCUELA DE INGENIEROS MILITARES-BOGOTÁ D.C.,81,15,139.46,144.2,147.88,18.52
9116,2024,FUNDACION UNIVERSITARIA CLARETIANA - UNICLARETIANA-QUIBDO,669,92,122.87,126.11,127.49,13.75
9119,2024,CORPORACION UNIVERSITARIA AMERICANA-BARRANQUILLA,1724,119,133.83,135.56,136.34,6.9
9120,2024,FUNDACION UNIVERSITARIA BELLAS ARTES-MEDELLIN,102,0,154.51,154.51,154.51,0.0
9121,2024,FUNDACION UNIVERSITARIA COLOMBO INTERNACIONAL - UNICOLOMBO-CARTAGENA,337,20,147.4,149.06,149.62,5.93
